datetime,temp,dew,humidity,precip,preciptype,snow,windspeed,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,conditions,description,icon,,holidays
4/21/2023,22,12.9,60.6,0,nothing,0,22.2,15.4,216.5,18.7,8,10,2023-04-21T06:23:28,2023-04-21T19:50:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/22/2023,18.9,12.5,68.5,10.388,rain,0,34.3,15.3,62.4,5.6,3,10,2023-04-22T06:22:07,2023-04-22T19:51:54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,,workday
4/23/2023,14.2,5.3,57.2,0,nothing,0,28.3,16,118.6,10.4,7,10,2023-04-23T06:20:46,2023-04-23T19:52:53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,workday
4/24/2023,11.6,-1.3,41.5,0,nothing,0,25.9,16,203.9,17.7,8,10,2023-04-24T06:19:26,2023-04-24T19:53:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/25/2023,11.7,0,45.3,0,nothing,0,17.2,16,183.6,15.9,9,10,2023-04-25T06:18:07,2023-04-25T19:54:49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/26/2023,13.5,6.4,63.6,0.293,rain,0,21.6,15.9,164.6,14.3,9,10,2023-04-26T06:16:49,2023-04-26T19:55:47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,,workday
4/27/2023,15.9,9.9,68.6,0,nothing,0,24.9,16,150.9,13,8,10,2023-04-27T06:15:32,2023-04-27T19:56:45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/28/2023,13.4,12,91,30.259,rain,0,35.6,9,26.3,2.1,1,10,2023-04-28T06:14:16,2023-04-28T19:57:43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,,workday
4/29/2023,15.3,12.7,84.8,3.669,rain,0,17.3,12.7,135.8,11.8,7,10,2023-04-29T06:13:01,2023-04-29T19:58:40,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,,workday
4/30/2023,16.3,13.9,86,9.635,rain,0,31.9,13,40,3.3,2,10,2023-04-30T06:11:47,2023-04-30T19:59:38,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,,workday
5/1/2023,13.7,3.4,50.6,0,nothing,0,37.5,16,90,7.8,3,10,2023-05-01T06:10:34,2023-05-01T20:00:36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
5/2/2023,11.9,4.8,62.2,0,nothing,0,27.4,15.9,72.9,6.4,4,10,2023-05-02T06:09:23,2023-05-02T20:01:34,Overcast,Cloudy skies throughout the day.,cloudy,,workday
5/3/2023,11,2.8,58.2,0.267,rain,0,28.5,16,92.3,7.9,4,10,2023-05-03T06:08:12,2023-05-03T20:02:31,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,,workday
5/4/2023,12.7,4.9,60.1,0,nothing,0,21.6,16,114.4,9.9,5,10,2023-05-04T06:07:03,2023-05-04T20:03:28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
5/5/2023,15,6.6,60.4,0,nothing,0,19.5,16,163,14.2,8,10,2023-05-05T06:05:55,2023-05-05T20:04:26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,workday
